kratek_naziv,drugi_nazivi,zacetek_aktivnosti,konec_aktivnosti,domneven_zacetek,domneven_konec,obmocja_delovanja,strani_z_omembo
Lukman,['Drago Lukman'],2000,2018,False,False,['MB'],"[31, 39, 56, 156, 193, 209, 235, 306, 311, 315, 422, 423, 498, 529, 576, 606, 608, 671, 672]"
Magister de Justinopoli,[''],1380,1390,False,False,['GO'],"[18, 32]"
Malahovski,"['Andrej Ferdinand Malahovski', 'Ferdinandus Malachovsky', 'Andrej Malakhovky']",1840,1881,False,False,['LJ'],"[28, 37, 45, 58, 60, 78, 143, 144, 156, 179, 223, 225, 227, 238, 274, 288, 289, 291, 293, 306, 311, 335, 341, 390, 440, 484, 510, 538, 593, 602, 603, 623, 636, 639, 645, 653]"
Malej,"['Ferdinand Malej', 'Ferdinand Mally']",1862,1862,False,False,['CE'],[252]
Manderscheidt,['Sebald Manderscheidt'],1682,1682,False,False,['DE'],"[22, 33, 502]"
Mandlin,"['Janez Mandlin', 'Johan Mandlin']",1852,1880,False,False,['NM'],"[27, 28, 37, 53, 96, 103, 125, 127, 150, 160, 338, 339, 358, 366, 404, 466, 472, 480, 532, 537, 572, 582, 586, 651]"
Maribor,"['Škofijska orglarska delavnica', 'Orglarska delavnica Maribor']",1989,2018,False,False,['MB'],"[30, 54, 67, 74, 75, 83, 90, 92, 97, 99, 107, 112, 113, 122, 131, 137, 140, 148, 149, 150, 155, 157, 162, 173, 174, 176, 178, 180, 184, 187, 199, 203, 204, 205, 206, 209, 224, 230, 242, 245, 249, 261, 266, 268, 269, 270, 272, 279, 282, 286, 300, 302, 306, 311, 315, 319, 321, 325, 328, 360, 367, 368, 373, 387, 392, 399, 401, 403, 404, 415, 418, 430, 436, 437, 450, 451, 463, 464, 466, 467, 472, 480, 482, 486, 492, 495, 498, 501, 503, 510, 511, 514, 529, 534, 536, 548, 549, 555, 558, 563, 576, 579, 586, 588, 614, 620, 632, 636, 641, 655, 673, 670, 671]"
Martenssons,['Martenssons Orgelfabrik'],1961,1961,False,False,['SW'],[88]
Martl,"['Venčeslav Martl', 'Venceslavus Marthal']",1803,1825,False,False,['CE'],"[25, 26, 35, 45, 69, 77, 92, 112, 132, 143, 160, 170, 214, 233, 344, 348, 393, 402, 466, 470, 471, 481, 482, 499, 501, 504, 523, 533, 539, 566, 614, 621, 623]"
Mascioni,['Fabbrica d’organi Mascioni'],1926,1988,False,False,['IT'],"[182, 318, 352, 508, 625]"
Mauracher,"['Mathias Mauracher', 'Johann Mauracher']",1860,1912,False,False,['AT'],"[86, 97, 160, 215, 266, 324, 354, 381, 466, 611, 633]"
Mayer,"['Gebrüder Mayer', 'Brata Mayer']",1902,1915,False,False,['AT'],"[58, 118, 125, 133, 161, 223, 235, 237, 271, 274, 334, 358, 371, 410, 426, 435, 473, 496, 510, 517, 521, 534, 538, 542, 546, 594]"
Mencinger,"['Jakob Matzinger', '*Franc Mencinger']",1835,1835,False,False,['MB'],"[444, 600]"
Merlini,['Francesco Merlini'],1805,1805,False,False,['IT'],"[25, 35, 217, 337]"
Mihaljević,['Josip Mihaljević'],2016,2016,False,False,['HR'],"[64, 106, 349]"
Milavec,['Ivan Milavec'],1904,1915,False,False,['LJ'],"[11, 12, 27, 29, 38, 54, 56, 58, 59, 60, 69, 73, 88, 110, 118, 123, 128, 132, 141, 142, 143, 147, 165, 180, 188, 199, 200, 202, 225, 230, 231, 233, 236, 261, 264, 280, 284, 286, 300, 314, 333, 380, 412, 413, 438, 463, 482, 515, 540, 545, 562, 573, 577, 579, 583, 586, 593, 619, 624, 653, 654]"
Mitterreiter,"['Andreas Mitterreiter', 'Georg Mitterreiter']",1726,1737,False,False,['GR'],"[24, 35, 82, 95, 306, 426, 491, 576]"
Močnik,"['Tomaž Močnik', 'Orglarstvo Močnik']",1998,2018,False,False,['LJ'],"[31, 39, 55, 59, 60, 67, 83, 88, 89, 93, 95, 109, 111, 112, 118, 150, 165, 171, 172, 173, 189, 205, 230, 233, 234, 242, 264, 268, 272, 277, 282, 290, 295, 304, 306, 343, 348, 356, 369, 371, 382, 386, 391, 420, 432, 456, 464, 466, 467, 479, 489, 491, 508, 518, 523, 529, 535, 539, 540, 564, 567, 568, 579, 580, 596, 597, 599, 607, 611, 620, 632, 636, 644, 645, 646, 653, 661, 670, 673]"
Mönch,['Mönch Orgelbau Überlingen'],1943,1943,False,False,['DE'],"[305, 405]"
Munda,['Zlatko Mudna'],2009,2018,False,False,['MB'],"[391, 396, 398, 617]"
Nakić,"['Petar Nakić', 'Pietro Nachini', 'P. Nacchini', 'P.Nachik']",1743,1760,False,False,"['HR', 'IT']","[25, 35, 37, 178, 185, 217, 262, 287, 378, 407, 632]"
Naraks,"['Franc Naraks', 'Ivan Naraks']",1856,1912,False,False,['CE'],"[27, 29, 38, 55, 78, 82, 90, 98, 99, 127, 140, 141, 142, 143, 156, 157, 159, 167, 175, 191, 192, 203, 240, 245, 315, 327, 329, 339, 374, 383, 384, 388, 391, 394, 395, 396, 400, 404, 409, 410, 417, 419, 420, 425, 436, 437, 445, 462, 464, 470, 498, 500, 501, 504, 512, 529, 533, 536, 555, 558, 561, 563, 567, 572, 573, 584, 590, 604, 623, 630, 637, 638, 639, 640, 646, 650]"
Niclas argelmeister,[''],1452,1460,False,False,['MB'],[18]
Novak,['Rudolf Novak'],1984,1984,False,False,['KO'],"[30, 105, 253, 448]"
Oettl,['Hermann Oettl'],1968,1968,False,False,['DE'],[209]
Omerzu,"['Anton Omerzu', 'Anton Omerzel']",1881,1889,False,False,['CE'],"[126, 226, 542, 607, 632]"
Orszagh,['Országh Sándor és Fia'],1857,1857,False,False,['HU'],[428]
Osredkar,"['Janez Osredkar', 'Lovro Osredkar']",1986,1994,False,False,['LJ'],"[122, 190, 261, 272, 275, 276, 295, 450]"
Otonič,"['Simon Otoničer', 'Simon Otonitscher', 'Jožef Otonič', 'Joseph Otonitsch']",1765,1832,False,False,['MB'],"[24, 26, 35, 45, 126, 127, 149, 150, 173, 179, 190, 194, 196, 197, 235, 307, 312, 315, 366, 394, 395, 444, 445, 464, 473, 486, 491, 516, 540, 549, 553, 554, 591, 600, 642, 647]"
Ottitsch,"['Walter Ottitsch', 'Bernhardt Ottitsch']",1986,1987,False,False,['KO'],"[78, 221, 321, 443]"
Papa,['Jožef Papa'],1838,1841,False,False,"['LJ', 'HR']","[231, 574]"
Pauhaus,"['Jurij Ulrik Pauhaus', ' Georg Ulrik Pauhauss']",1710,1730,False,False,['LJ'],"[24, 34]"
Pavlinić,"['Glazbeni atelier Pavlinić', 'Zlatko Pavlinić']",2006,2006,False,False,['HR'],[640]
Peppert,['Ferdinand Peppert'],1829,1872,False,False,['HU'],"[74, 168]"
Peřina,['Anton Peřina'],1928,1941,False,False,['LJ'],[354]
Pevec,['Franc Pevec'],1861,1861,False,False,['LJ'],"[7, 103, 175, 403, 462]"
Pietro de Zuanne,[''],1530,1540,False,False,['IT'],"[19, 33]"
Počivalšek,"['Matej Počivalšek', 'Mathias Počivalšek']",1856,1856,False,False,['CE'],[195]
Porritt,['Joshua Porritt'],1906,1906,False,False,['GB'],[359]
Posch,"['Izak Poš', 'Isaac Posch']",1617,1622,False,False,['AT'],"[22, 33]"
Pračker,"['Elias Pračker', 'Elias Prozer', ' Elias Prätzer']",1725,1774,False,False,"['KO', 'AT']","[23, 34]"
Pugina,['Annibale e fratello Pugina'],1897,1897,False,False,['IT'],"[377, 378]"
Račič,['Andrej Račič'],1854,1870,False,False,['NM'],"[26, 28, 37, 103, 317, 584, 633]"
Raktelj,['Dominik Raktelj'],1870,1888,False,False,['MB'],"[92, 93, 256, 315, 317, 370, 381, 486, 641]"
Reiser,['Albert Reiser'],1940,1940,False,False,['DE'],[405]
Rieger,['Gebrüder Rieger'],1883,1912,False,False,['CZ'],"[55, 99, 137, 138, 297, 347, 456, 609, 655]"
Rojc,"['Peter Rojc', 'Peter Rojic']",1840,1875,False,False,['LJ'],"[27, 28, 37, 75, 147, 148, 161, 179, 213, 310, 369, 386, 464, 483, 488, 579, 635, 651, 653]"
Römer,['Anton Josef Römer'],1764,1770,False,True,"['CZ', 'GR']","[23, 34, 193, 317, 564]"
Rotenburg,"['Paul Rottenburger', 'Paul Rotenburg']",1639,1639,False,False,['KO'],"[19, 22, 26, 29, 33, 38]"
Rumpel,"['Peter Rumpel', 'Peter Rumpl', 'Janez Rumpel']",1822,1860,False,False,['LJ'],"[25, 28, 35, 37, 90, 111, 113, 115, 122, 123, 124, 125, 127, 138, 142, 143, 147, 148, 157, 175, 181, 182, 184, 201, 213, 214, 227, 233, 236, 242, 253, 256, 302, 333, 343, 389, 399, 417, 445, 460, 461, 462, 464, 488, 510, 519, 526, 527, 531, 534, 539, 542, 547, 553, 556, 569, 572, 586, 622, 634, 636, 646, 647, 648]"
Rupnik,['Mihael Rupnik'],1859,1891,False,False,['CE'],"[67, 115, 123, 233, 250, 354, 375, 377, 393, 452, 461, 462, 490, 502, 514, 592, 620, 628, 647, 648, 658]"
Salb,['Josip Salb'],1850,1853,False,False,['MB'],"[153, 325, 445, 464, 465]"
Sašek,['Matevž Sašek'],1874,1885,False,False,['NM'],"[156, 576]"
Schehl,"['Karl Schehl', 'Carl Schehl', 'Karol Schechel', 'Franz Schehl', '*Karl Spel']",1825,1846,False,False,['GR'],"[67, 90, 150, 153, 189, 325, 417, 422, 426, 478, 503, 511, 536, 637, 642, 643]"
Scholtz,"['Anton Scholtz', 'Antoni Scholz']",1778,1799,False,False,['CE'],"[25, 26, 35, 80, 92, 120, 144, 177, 232, 306, 327, 344, 350, 362, 366, 375, 395, 419, 442, 499, 512, 525, 539, 566, 579, 587, 608, 621]"
Schuke,['Karl Schuke Berliner Orgelbauwerkstatt GmbH.'],1982,1982,False,False,['DE'],"[25, 30, 35, 39, 261]"
Schwarz,"['Andreas Schwarz', 'Ferdinand Schwarz', 'Franz Xaver Schwarz']",1700,1794,False,False,['GR'],"[24, 35, 89, 135, 257, 258, 317, 318, 334, 349, 396, 398, 426, 429, 430, 475, 484, 504, 512, 513, 525, 563, 568, 606, 628, 638, 653]"
Sewalt,['Georg Sewalt'],1650,1670,False,False,['GR'],"[22, 619]"
Slooff,['Nico Sloof'],1950,1970,False,False,['NL'],[310]
Stehle,['Gebrüder Stehle'],1957,1957,False,False,['CH'],[409]
Steinhofer,"['Johann Michael Steinhoffer', 'Janez Mihael Steinhofer', '*Janez Mihael Zajc', '*Johann Michael Seitz']",1720,1741,False,False,['LJ'],"[24, 34, 124, 331, 392]"
Steinmann,['Gustav Steinmann Orgelbau'],1960,1960,False,False,['DE'],[103]
Sweetland,['William Sweetland'],1888,1888,False,False,['GB'],[98]
Szalay,['Gyula Szalay'],1897,1897,False,False,['HU'],[139]
Škrabl,['Anton Škrabl'],1990,2018,False,False,['CE'],"[31, 39, 53, 63, 64, 68, 74, 97, 98, 103, 105, 109, 112, 113, 116, 123, 135, 141, 144, 155, 159, 165, 166, 168, 173, 175, 183, 189, 192, 195, 196, 203, 204, 208, 216, 220, 221, 223, 233, 247, 251, 253, 274, 275, 304, 310, 318, 324, 329, 333, 344, 345, 347, 351, 356, 359, 364, 365, 369, 372, 374, 377, 393, 394, 406, 407, 412, 426, 430, 431, 443, 444, 450, 452, 462, 465, 470, 495, 496, 497, 499, 512, 513, 515, 521, 525, 533, 537, 540, 541, 542, 544, 552, 553, 560, 567, 575, 582, 592, 596, 611, 625, 627, 632, 634, 641, 643, 649, 658, 670, 672]"
Teisspacher,"['Michael Theisspacher', '*Michael Scheisspacher', '* Michael Tauffenbacher']",1550,1550,False,False,['GR'],"[19, 33, 286]"
Tonoli,['Giovanni Tonoli'],1847,1886,False,False,['IT'],"[64, 368, 369, 576]"
Turk,['Anton Turk'],1890,1901,False,False,"['CE', 'DE']",[]
Ulrich,[''],1586,1586,False,False,['MB'],"[19, 33]"
Valentinčič,"['Anton Valentinčič', '*Janez Valentičič']",1844,1870,False,False,"['LJ', 'CE', 'KO']","[57, 92, 96, 168, 197, 296, 360, 377, 384, 417, 435, 496, 518, 526, 573, 609, 654]"
Valiček,"['Josip Valiček', 'Jožef Valiček', 'Bogomil Valiček', 'Brata Valiček', 'Cecilia Gorica']",1926,1971,False,False,['GO'],"[29, 30, 38, 55, 56, 58, 109, 135, 136, 137, 153, 154, 155, 156, 157, 169, 187, 202, 222, 244, 308, 352, 368, 380, 381, 384, 385, 438, 447, 460, 482, 485, 503, 527, 543, 570, 616, 637]"
Van Puffelen,['Karel Marinus van Puffelen'],1873,1873,False,False,['NL'],[377]
Velej,"['Janez Velej', 'Johann Welley']",1842,1864,False,False,['CE'],"[27, 56, 68, 147, 203, 377, 387, 469]"
Verschueren,['Leon Verschueren'],1950,1970,True,True,['NL'],"[169, 627]"
Vicentini,"['Andrea Vicentini', 'Giacomo Vicentini', 'Bernardino Vicentini']",1520,1535,False,False,['IT'],"[19, 33, 219]"
Vičič,['Miha Vičič'],1830,1857,False,False,['GO'],"[25, 28, 35, 37, 214, 558, 562]"
Vrabec,['Janko Vrabec'],1864,1887,False,False,['NM'],"[148, 260, 418]"
Walcker,[''],1968,1981,False,False,['DE'],"[30, 78, 292, 322, 330, 406, 410]"
Walcker Mayer,[''],1950,1962,True,False,['DE'],"[125, 237, 410, 473, 521]"
Wallenstein,"['Andreas Sebastian Wallenstein', 'Andrej Sebastjan Wallenstein']",1709,1709,False,False,['LJ'],"[24, 34, 286]"
Weber,['Jožef Weber'],1850,1860,False,False,['CE'],[187]
Werner,['Friedrich Werner'],1872,1872,False,False,['GR'],"[24, 35, 513, 566, 591]"
Zanin,"['Valentino Zanin', 'Giuseppe Zanin', 'Pietro Zanin', 'Francesco Zanin']",1878,1996,False,False,['IT'],"[153, 179, 226, 472, 527, 558]"
Zimnol,['Paul Zimnol'],1969,1969,False,False,['DE'],[421]
Zitzman,"['Georg Zitzmann', 'Zitzmann & Jeschek']",1928,1930,False,False,['GO'],"[29, 80, 161, 342, 447, 490, 619]"
Zupan,"['Ignacij Zupan st.', 'Ignacij Zupan ml.', 'Ivan Zupan', 'Ignacij Zupan in sinova', 'Brata Zupan']",1869,1915,False,False,['LJ'],"[27, 29, 38, 53, 59, 66, 75, 76, 80, 83, 93, 109, 112, 118, 120, 122, 137, 145, 157, 169, 170, 171, 176, 180, 191, 197, 202, 203, 213, 217, 227, 228, 232, 241, 254, 256, 257, 279, 282, 290, 305, 308, 312, 324, 325, 330, 331, 335, 338, 342, 348, 350, 368, 369, 370, 372, 385, 389, 390, 394, 399, 400, 411, 429, 431, 435, 436, 440, 441, 442, 444, 447, 456, 457, 465, 466, 467, 480, 482, 483, 489, 490, 493, 497, 499, 500, 513, 514, 523, 532, 537, 548, 549, 552, 555, 568, 570, 571, 591, 596, 599, 608, 613, 617, 620, 621, 635, 644]"
